t, aX, aY, aZ, gX, gY, gZ
1.0267, -0.92, 0.15, 0.30, 1.65, -11.22, 13.66
1.0300, -0.91, 0.17, 0.29, -0.30, -10.85, 14.76
1.0333, -0.90, 0.17, 0.38, -2.80, -9.21, 15.98
1.0367, -0.92, 0.18, 0.43, -4.88, -8.17, 17.32
1.0400, -0.82, 0.15, 0.31, -6.65, -6.52, 18.84
1.0433, -0.96, 0.12, 0.48, -8.60, -4.33, 21.59
1.0467, -0.59, 0.06, 0.32, -9.94, -0.98, 24.82
1.0500, -1.01, 0.09, 0.42, -12.44, 4.88, 26.52
1.0533, -1.05, -0.01, 0.49, -12.44, 10.06, 27.38
1.0567, -0.94, 0.13, 0.40, -10.85, 14.45, 27.87
1.0600, -1.10, 0.13, 0.40, -10.24, 15.79, 27.20
1.0633, -1.24, -0.05, 0.26, -9.70, 18.05, 25.67
1.0667, -0.79, 0.17, 0.08, -11.71, 20.73, 26.71
1.0700, -1.02, 0.28, 0.54, -16.34, 19.57, 24.88
1.0733, -1.04, 0.27, 0.46, -17.38, 21.16, 21.04
1.0767, -0.97, 0.03, 0.50, -16.28, 24.02, 19.09
1.0800, -1.02, 0.04, 0.50, -12.38, 26.22, 16.28
1.0833, -0.88, 0.12, 0.30, -8.11, 30.85, 12.56
1.0867, -0.93, 0.15, 0.14, -7.32, 31.83, 9.57
1.0900, -0.98, 0.17, 0.31, -8.60, 31.59, 7.44
1.0933, -0.89, 0.21, 0.32, -10.30, 30.79, 5.67
1.0967, -0.99, 0.20, 0.37, -11.65, 29.88, 4.21
1.1000, -0.94, 0.22, 0.30, -11.77, 25.98, 3.54
1.1033, -0.86, 0.21, 0.19, -11.46, 23.35, 3.41
1.1067, -0.88, 0.19, 0.21, -10.55, 19.02, 3.05
1.1100, -0.93, 0.20, 0.22, -10.30, 18.35, 3.48
1.1133, -0.94, -0.03, 0.26, -9.09, 18.17, 4.02
1.1167, -0.77, 0.33, 0.09, -3.78, 15.61, 5.67
1.1200, -1.00, -0.11, 0.17, -1.83, 14.21, 8.78
1.1233, -0.86, -0.01, -0.10, 0.00, 9.15, 15.30
1.1267, -0.91, -0.05, 0.09, 1.77, 7.26, 20.24
1.1300, -0.93, 0.07, 0.06, 2.26, 2.01, 24.70
1.1333, -0.93, 0.33, 0.26, 2.13, 1.89, 29.94
1.1367, -1.01, 0.16, 0.31, 0.06, 1.59, 36.28
1.1400, -1.03, 0.27, 0.32, 1.22, 2.99, 41.04
1.1433, -0.79, 0.11, 0.15, 3.72, 4.02, 44.57
1.1467, -1.09, 0.22, 0.40, 6.04, 5.12, 47.38
1.1500, -0.89, 0.26, 0.14, 8.23, 8.23, 51.71
1.1533, -0.98, 0.18, 0.41, 8.66, 6.71, 54.21
1.1567, -0.93, 0.21, 0.27, 8.90, 5.91, 55.00
1.1600, -1.00, 0.06, 0.32, 9.45, 6.34, 56.46
1.1633, -0.88, 0.02, 0.13, 10.43, 7.38, 58.11
1.1667, -0.92, 0.02, 0.18, 12.74, 8.66, 57.87
1.1700, -1.06, 0.05, 0.32, 13.96, 8.90, 56.83
1.1733, -1.01, 0.13, 0.22, 14.09, 11.71, 56.04
1.1767, -1.04, 0.15, 0.28, 12.93, 9.82, 55.49
1.1800, -0.90, 0.18, 0.20, 13.48, 10.61, 54.51
1.1833, -0.95, 0.21, 0.26, 12.93, 10.85, 52.87
1.1867, -1.04, 0.31, 0.29, 11.89, 12.68, 49.51
1.1900, -0.95, 0.35, 0.24, 11.16, 12.99, 45.73
1.1933, -0.96, 0.32, 0.19, 10.37, 13.23, 42.07
1.1967, -1.05, 0.36, 0.32, 9.63, 13.48, 39.02
1.2000, -0.96, 0.32, 0.27, 9.15, 13.48, 36.71
1.2033, -0.88, 0.32, 0.22, 9.09, 13.60, 33.78
1.2067, -0.95, 0.36, 0.36, 8.78, 12.62, 31.10
1.2100, -0.96, 0.32, 0.32, 8.41, 13.84, 28.60
1.2133, -0.88, 0.34, 0.30, 8.11, 15.43, 26.77
1.2167, -0.96, 0.31, 0.36, 7.93, 15.98, 25.55
1.2200, -0.93, 0.31, 0.35, 7.32, 17.80, 25.24
1.2233, -0.90, 0.28, 0.35, 6.34, 19.51, 25.55
1.2267, -0.91, 0.28, 0.43, 5.43, 20.85, 25.91
1.2300, -0.91, 0.32, 0.39, 4.70, 22.87, 26.95
1.2333, -0.92, 0.34, 0.37, 3.72, 25.43, 27.99
1.2367, -1.04, 0.45, 0.46, 1.83, 27.07, 28.90
1.2400, -1.00, 0.53, 0.12, -1.22, 30.55, 29.09
1.2433, -1.33, 0.23, 0.51, -7.56, 20.55, 26.40
1.2467, -0.70, 0.49, 0.03, -15.12, 23.54, 24.33
1.2500, -1.11, 0.61, 0.41, -20.61, 20.55, 20.06
1.2533, -1.05, 0.37, 0.45, -24.82, 19.88, 15.61
1.2567, -0.78, 0.38, 0.11, -26.89, 22.50, 11.59
1.2600, -1.09, 0.44, 0.34, -27.62, 22.26, 6.83
1.2633, -0.94, 0.42, 0.18, -30.00, 23.96, 4.09
1.2667, -0.83, 0.45, 0.28, -31.95, 24.21, -1.16
1.2700, -0.92, 0.26, 0.12, -34.02, 23.60, -6.16
1.2733, -0.90, 0.44, 0.15, -37.68, 25.37, -8.96
1.2767, -0.92, 0.25, 0.25, -40.91, 24.51, -11.52
1.2800, -0.87, 0.27, 0.20, -42.07, 22.38, -14.33
1.2833, -0.89, 0.38, 0.14, -44.70, 22.13, -17.44
