t, aX, aY, aZ, gX, gY, gZ
0.6267, -0.99, 0.08, 0.08, 1.83, 0.18, -0.12
0.6300, -1.01, 0.07, 0.07, 1.77, 0.30, -0.06
0.6333, -1.00, 0.08, 0.07, 1.65, 0.12, -0.12
0.6367, -1.00, 0.08, 0.09, 1.77, 0.12, -0.18
0.6400, -1.00, 0.08, 0.07, 1.83, 0.12, -0.06
0.6433, -1.00, 0.07, 0.07, 1.65, 0.06, -0.12
0.6467, -1.00, 0.07, 0.08, 1.71, 0.00, -0.24
0.6500, -1.00, 0.08, 0.08, 1.71, 0.06, -0.12
0.6533, -0.99, 0.08, 0.07, 1.65, -0.06, -0.12
0.6567, -1.00, 0.08, 0.08, 1.71, -0.12, 0.00
0.6600, -1.00, 0.08, 0.07, 1.65, -0.18, -0.18
0.6633, -1.00, 0.07, 0.06, 1.71, -0.24, -0.06
0.6667, -1.00, 0.08, 0.08, 1.77, -0.24, -0.06
0.6700, -1.00, 0.07, 0.07, 1.65, -0.18, -0.06
0.6733, -1.00, 0.08, 0.08, 1.59, -0.30, 0.00
0.6767, -1.00, 0.08, 0.08, 1.65, -0.37, 0.00
0.6800, -1.00, 0.08, 0.07, 1.59, -0.43, -0.12
0.6833, -1.01, 0.08, 0.08, 1.71, -0.37, -0.06
0.6867, -1.00, 0.08, 0.07, 1.71, -0.37, -0.06
0.6900, -0.99, 0.07, 0.09, 1.59, -0.43, -0.12
0.6933, -0.99, 0.07, 0.07, 1.77, -0.55, -0.18
0.6967, -1.00, 0.07, 0.09, 1.77, -0.67, -0.12
0.7000, -1.00, 0.07, 0.08, 1.59, -0.67, -0.06
0.7033, -1.00, 0.07, 0.07, 1.46, -0.61, -0.18
0.7067, -1.00, 0.08, 0.08, 1.52, -0.67, -0.12
0.7100, -1.01, 0.07, 0.08, 1.65, -0.61, -0.18
0.7133, -1.00, 0.07, 0.08, 1.40, -0.61, -0.12
0.7167, -1.00, 0.08, 0.08, 1.46, -0.73, -0.18
0.7200, -1.01, 0.08, 0.07, 1.65, -0.79, -0.18
0.7233, -1.01, 0.08, 0.08, 1.59, -0.61, -0.12
0.7267, -1.00, 0.07, 0.08, 1.59, -0.73, -0.24
0.7300, -1.00, 0.08, 0.10, 1.59, -0.67, -0.18
0.7333, -1.00, 0.08, 0.09, 1.52, -0.67, -0.18
0.7367, -1.00, 0.07, 0.08, 1.59, -0.67, -0.18
0.7400, -1.00, 0.08, 0.08, 1.52, -0.67, -0.06
0.7433, -1.00, 0.08, 0.09, 1.59, -0.67, -0.18
0.7467, -0.99, 0.07, 0.08, 1.71, -0.55, -0.12
0.7500, -1.00, 0.08, 0.08, 1.71, -0.55, -0.18
0.7533, -1.00, 0.07, 0.08, 1.65, -0.61, -0.06
0.7567, -0.99, 0.07, 0.09, 1.59, -0.61, -0.12
0.7600, -0.99, 0.08, 0.08, 1.59, -0.49, -0.12
0.7633, -0.99, 0.08, 0.08, 1.65, -0.55, -0.18
0.7667, -0.99, 0.08, 0.08, 1.65, -0.43, -0.06
0.7700, -1.00, 0.07, 0.08, 1.83, -0.43, -0.12
0.7733, -1.01, 0.08, 0.09, 1.65, -0.43, -0.18
0.7767, -1.00, 0.08, 0.09, 1.71, -0.43, -0.06
0.7800, -0.99, 0.07, 0.08, 1.71, -0.30, 0.00
0.7833, -1.00, 0.07, 0.08, 1.71, -0.30, -0.06
0.7867, -1.01, 0.08, 0.07, 1.71, -0.24, 0.06
0.7900, -1.00, 0.08, 0.09, 1.71, -0.18, 0.12
0.7933, -1.00, 0.07, 0.08, 1.65, -0.18, 0.00
0.7967, -1.00, 0.08, 0.08, 1.65, -0.06, -0.06
0.8000, -1.00, 0.07, 0.09, 1.83, 0.00, 0.00
0.8033, -1.00, 0.09, 0.08, 1.71, -0.18, 0.06
0.8067, -1.00, 0.07, 0.10, 1.77, -0.18, -0.06
0.8100, -1.00, 0.08, 0.08, 1.71, -0.12, -0.12
0.8133, -1.00, 0.08, 0.08, 1.71, -0.06, -0.06
0.8167, -1.00, 0.08, 0.09, 1.83, 0.06, -0.12
0.8200, -1.00, 0.07, 0.07, 1.59, 0.24, -0.06
0.8233, -1.01, 0.08, 0.09, 1.71, 0.00, -0.06
0.8267, -0.99, 0.08, 0.08, 1.77, 0.12, -0.12
0.8300, -1.00, 0.08, 0.07, 1.59, 0.18, -0.06
0.8333, -1.00, 0.07, 0.08, 1.59, 0.24, -0.18
0.8367, -1.00, 0.08, 0.08, 1.77, 0.06, -0.12
0.8400, -1.01, 0.08, 0.07, 1.71, 0.12, -0.18
0.8433, -1.00, 0.09, 0.06, 1.83, 0.06, -0.12
0.8467, -1.00, 0.08, 0.08, 1.83, 0.00, -0.06
0.8500, -1.00, 0.07, 0.08, 1.83, 0.12, -0.06
0.8533, -1.00, 0.07, 0.09, 1.65, 0.06, -0.06
0.8567, -0.99, 0.07, 0.08, 1.65, 0.06, 0.00
0.8600, -1.01, 0.08, 0.07, 1.83, 0.06, -0.06
0.8633, -1.00, 0.07, 0.07, 1.65, 0.12, -0.12
0.8667, -1.01, 0.07, 0.07, 1.77, 0.12, -0.12
0.8700, -0.99, 0.07, 0.08, 1.89, 0.06, 0.00
0.8733, -1.00, 0.07, 0.07, 1.83, 0.00, -0.12
0.8767, -1.00, 0.08, 0.06, 1.77, 0.00, 0.00
0.8800, -1.00, 0.08, 0.09, 1.65, -0.06, 0.00
0.8833, -1.00, 0.07, 0.08, 1.59, -0.06, -0.06
0.8867, -1.00, 0.07, 0.08, 1.71, -0.12, -0.12
0.8900, -1.00, 0.07, 0.09, 1.83, -0.12, -0.12
0.8933, -1.00, 0.09, 0.08, 1.83, -0.06, 0.06
0.8967, -1.00, 0.09, 0.09, 1.83, -0.06, 0.00
0.9000, -1.00, 0.08, 0.08, 1.71, -0.12, -0.06
0.9033, -1.01, 0.08, 0.08, 1.71, -0.24, -0.18
0.9067, -0.99, 0.08, 0.07, 1.83, -0.12, -0.18
0.9100, -1.00, 0.07, 0.07, 1.65, -0.18, -0.12
0.9133, -1.00, 0.08, 0.08, 1.71, -0.18, -0.12
0.9167, -1.01, 0.07, 0.08, 1.71, -0.30, -0.18
0.9200, -1.00, 0.08, 0.07, 1.71, -0.30, -0.12
0.9233, -1.00, 0.07, 0.10, 1.65, -0.30, -0.18
0.9267, -1.00, 0.07, 0.09, 1.59, -0.37, -0.37
0.9300, -1.00, 0.07, 0.08, 1.65, -0.37, -0.30
0.9333, -1.00, 0.07, 0.08, 1.59, -0.43, -0.24
0.9367, -1.00, 0.08, 0.09, -93.72, -3.90, 1498.78
0.9400, -1.00, 0.08, 0.08, 1.65, 0.00, 0.00
0.9433, -1.00, 0.08, 0.08, 1.59, -0.12, -0.12
0.9467, -1.00, 0.07, 0.08, 1.59, 0.00, -0.12
0.9500, -1.00, 0.07, 0.08, 1.83, 0.00, -0.18
0.9533, -1.00, 0.08, 0.09, 1.95, 0.06, -0.12
0.9567, -1.00, 0.08, 0.09, 1.77, 0.00, -0.12
0.9600, -1.00, 0.08, 0.07, 1.65, 0.00, 0.00
0.9633, -1.00, 0.07, 0.07, 1.59, 0.06, 0.06
0.9667, -1.00, 0.07, 0.08, 1.65, 0.00, 0.00
0.9700, -1.00, 0.08, 0.09, 1.65, 0.00, -0.06
0.9733, -1.00, 0.08, 0.08, 1.71, -0.06, -0.12
0.9767, -1.00, 0.08, 0.09, 1.77, -0.12, -0.18
0.9800, -1.01, 0.08, 0.09, 1.65, -0.06, -0.12
0.9833, -1.01, 0.08, 0.08, 1.65, 0.06, -0.12
0.9867, -1.00, 0.06, 0.06, 1.59, -0.18, -0.18
0.9900, -1.00, 0.07, 0.07, 1.59, -0.12, 0.00
0.9933, -1.00, 0.08, 0.07, 1.65, -0.12, 0.06
0.9967, -1.00, 0.08, 0.07, 1.71, -0.06, -0.12
1.0000, -1.01, 0.08, 0.08, 1.65, -0.06, -0.12
1.0033, -1.00, 0.08, 0.08, 1.71, -0.24, -0.06
1.0067, -1.01, 0.08, 0.07, 1.83, -0.12, -0.18
1.0100, -1.00, 0.08, 0.08, 1.77, -0.18, -0.24
1.0133, -1.00, 0.07, 0.08, 1.83, -0.12, -0.12
1.0167, -0.99, 0.08, 0.07, 1.77, -0.24, -0.12
1.0200, -1.00, 0.07, 0.08, 1.77, -0.24, -0.06
1.0233, -1.01, 0.08, 0.07, 1.83, -0.43, -0.12
1.0267, -1.00, 0.08, 0.08, 1.59, -0.37, -0.18
1.0300, -1.00, 0.08, 0.07, 1.59, -0.49, -0.12
1.0333, -1.00, 0.08, 0.09, 1.65, -0.37, -0.12
1.0367, -0.99, 0.07, 0.09, 1.71, -0.37, 0.00
1.0400, -1.00, 0.08, 0.09, 1.65, -0.43, -0.12
1.0433, -0.99, 0.07, 0.09, 1.71, -0.37, -0.12
1.0467, -1.00, 0.08, 0.08, 1.59, -0.30, -0.12
1.0500, -1.00, 0.07, 0.08, 1.59, -0.43, -0.12
1.0533, -1.00, 0.07, 0.08, 1.77, -0.30, -0.12
1.0567, -0.99, 0.07, 0.08, 1.71, -0.43, -0.30
1.0600, -1.00, 0.08, 0.08, 1.65, -0.43, -0.37
1.0633, -1.00, 0.07, 0.07, 1.59, -0.49, -0.12
1.0667, -1.00, 0.08, 0.08, 1.52, -0.49, 0.00
