t, aX, aY, aZ, gX, gY, gZ
0.8733, -0.80, -0.03, 0.75, 21.28, 48.05, -10.55
0.8767, -0.80, -0.02, 0.74, 23.60, 47.38, -10.73
0.8800, -0.80, -0.02, 0.75, 25.85, 46.46, -10.73
0.8833, -0.80, -0.01, 0.72, 28.23, 45.43, -10.67
0.8867, -0.81, 0.01, 0.76, 30.73, 43.72, -10.37
0.8900, -0.80, 0.02, 0.74, 33.41, 41.71, -10.00
0.8933, -0.81, 0.02, 0.71, 35.85, 39.94, -9.21
0.8967, -0.81, 0.03, 0.71, 38.05, 37.80, -8.48
0.9000, -0.81, 0.04, 0.71, 40.06, 35.73, -7.56
0.9033, -0.82, 0.02, 0.67, 41.34, 33.60, -6.40
0.9067, -0.80, 0.04, 0.67, 42.32, 31.34, -5.37
0.9100, -0.81, 0.04, 0.66, 42.74, 29.27, -4.27
0.9133, -0.81, 0.03, 0.65, 42.68, 27.26, -3.11
0.9167, -0.82, 0.04, 0.63, 42.26, 25.43, -2.07
0.9200, -0.81, 0.04, 0.61, 41.59, 23.66, -1.34
0.9233, -0.84, 0.04, 0.61, 40.85, 22.01, -0.91
0.9267, -0.84, 0.04, 0.60, 39.45, 20.61, -0.30
0.9300, -0.85, 0.03, 0.59, 37.74, 19.21, 0.06
0.9333, -0.86, 0.01, 0.59, 36.16, 18.05, 0.49
0.9367, -0.86, 0.02, 0.58, 34.45, 16.77, 0.85
0.9400, -0.86, 0.01, 0.57, 32.87, 15.49, 1.04
0.9433, -0.86, 0.01, 0.58, 31.34, 14.09, 1.22
0.9467, -0.85, 0.02, 0.57, 30.18, 13.17, 1.40
0.9500, -0.85, 0.01, 0.56, 29.02, 12.20, 1.28
0.9533, -0.84, 0.02, 0.55, 27.99, 11.52, 1.22
0.9567, -0.83, 0.04, 0.58, 26.83, 11.16, 0.98
0.9600, -0.83, 0.04, 0.57, 25.73, 11.22, 1.04
0.9633, -0.82, 0.05, 0.57, 24.76, 11.71, 0.98
0.9667, -0.83, 0.06, 0.58, 23.78, 12.44, 1.04
0.9700, -0.82, 0.07, 0.59, 22.99, 13.23, 1.04
0.9733, -0.82, 0.07, 0.60, 22.26, 14.02, 1.04
0.9767, -0.82, 0.07, 0.61, 21.59, 14.45, 0.98
0.9800, -0.83, 0.08, 0.61, 21.22, 14.76, 0.85
0.9833, -0.81, 0.08, 0.62, 20.85, 14.82, 0.73
0.9867, -0.77, 0.16, 0.81, 20.61, 14.76, 0.98
0.9900, -0.86, 0.18, 0.79, 20.43, 14.15, 1.65
0.9933, -0.75, 0.10, 0.60, 22.50, 15.24, 2.01
0.9967, -0.78, -0.02, 0.64, 23.54, 15.00, 2.44
1.0000, -0.84, -0.02, 0.68, 23.84, 13.96, 2.80
1.0033, -0.73, 0.03, 0.56, 25.61, 13.78, 2.74
1.0067, -0.84, 0.00, 0.67, 27.07, 11.71, 2.50
1.0100, -0.81, 0.02, 0.62, 28.48, 10.49, 2.87
1.0133, -0.80, 0.03, 0.60, 30.24, 9.02, 2.80
1.0167, -0.83, 0.02, 0.61, 32.01, 6.83, 2.38
1.0200, -0.79, 0.03, 0.55, 32.68, 5.85, 2.20
