t, aX, aY, aZ, gX, gY, gZ
0.9000, -0.44, -0.01, 0.91, -12.68, 6.59, 1.46
0.9033, -0.46, 0.07, 0.96, -10.55, 7.26, 1.89
0.9067, -0.52, 0.07, 0.99, -8.35, 8.29, 2.13
0.9100, -0.51, 0.05, 0.94, -6.04, 8.48, 3.23
0.9133, -0.46, 0.10, 0.88, -4.33, 7.80, 4.02
0.9167, -0.49, 0.08, 0.94, -3.66, 8.78, 4.15
0.9200, -0.57, 0.04, 0.94, -3.05, 9.21, 5.12
0.9233, -0.53, 0.02, 1.13, -2.13, 8.60, 5.55
0.9267, -0.28, 0.27, 0.89, -0.98, 6.65, 6.46
0.9300, -0.33, 0.15, 0.82, -2.32, 4.51, 7.20
0.9333, -0.48, 0.03, 0.78, -1.95, 4.57, 9.27
0.9367, -0.53, 0.07, 0.90, -1.95, 2.44, 9.51
0.9400, -0.60, 0.06, 0.94, -2.68, 0.49, 9.63
0.9433, -0.51, 0.03, 0.91, -2.87, -2.62, 10.18
0.9467, -0.51, 0.04, 0.92, -2.80, -6.77, 9.88
0.9500, -0.52, 0.04, 0.94, -2.38, -10.18, 9.27
0.9533, -0.51, 0.07, 0.92, -1.77, -14.70, 8.72
0.9567, -0.57, -0.00, 0.89, -1.16, -19.27, 8.41
0.9600, -0.58, -0.00, 0.91, -0.85, -22.50, 8.60
0.9633, -0.49, -0.01, 0.98, 0.06, -25.43, 8.60
0.9667, -0.59, -0.03, 1.01, 1.40, -28.54, 8.72
0.9700, -0.39, 0.03, 0.93, 3.72, -31.89, 7.99
0.9733, -0.44, 0.07, 0.97, 5.06, -33.29, 7.13
0.9767, -0.46, 0.03, 0.97, 7.20, -33.54, 6.28
0.9800, -0.46, 0.02, 0.97, 8.23, -31.77, 5.55
0.9833, -0.39, 0.05, 0.94, 8.23, -28.35, 5.67
0.9867, -0.46, 0.10, 0.95, 7.74, -24.76, 5.67
0.9900, -0.37, 0.07, 1.05, 6.65, -21.22, 6.52
0.9933, 0.17, 0.78, 0.61, 5.85, -20.43, 7.62
0.9967, -0.21, 0.28, 1.10, 1.77, -19.27, 10.37
1.0000, -0.04, 0.23, 1.00, 1.89, -16.71, 13.72
1.0033, -0.78, -0.01, 1.23, 0.18, -15.55, 15.73
1.0067, 0.17, 0.58, 0.85, -0.73, -13.60, 18.48
1.0100, -0.35, 0.25, 0.81, -3.05, -12.74, 20.91
1.0133, -0.11, -0.10, 0.95, -1.77, -14.33, 22.68
1.0167, -0.04, 0.41, 0.76, -6.10, -14.88, 22.07
1.0200, -0.29, 0.09, 0.88, -9.51, -12.62, 24.15
1.0233, -0.25, 0.21, 0.81, -9.88, -11.83, 26.71
1.0267, -0.60, 0.14, 0.94, -12.26, -11.65, 27.93
1.0300, -0.40, 0.20, 0.87, -15.00, -7.20, 28.90
1.0333, -0.50, 0.12, 0.85, -17.50, -5.30, 30.67
1.0367, -0.65, 0.10, 0.90, -19.33, -4.88, 31.10
1.0400, -0.28, 0.26, 0.67, -22.01, -6.71, 31.71
1.0433, -0.46, -0.05, 0.98, -26.95, -7.68, 32.07
1.0467, -0.50, 0.09, 0.78, -25.61, -4.88, 32.38
1.0500, -0.56, 0.05, 0.84, -26.28, -5.18, 30.37
1.0533, -0.41, 0.01, 0.86, -27.44, -4.15, 29.63
1.0567, -0.45, 0.03, 0.88, -27.01, -4.21, 27.93
1.0600, -0.44, -0.01, 0.85, -23.96, -4.63, 26.71
1.0633, -0.44, 0.04, 0.87, -20.24, -2.80, 25.67
1.0667, -0.49, 0.03, 0.88, -18.05, -0.67, 25.43
1.0700, -0.57, 0.02, 0.89, -16.71, 1.10, 25.37
1.0733, -0.55, 0.05, 0.98, -15.49, 0.67, 24.57
1.0767, -0.48, 0.03, 0.97, -13.66, 1.28, 24.45
1.0800, -0.43, -0.01, 0.70, -12.99, -0.43, 23.78
1.0833, -0.69, -0.00, 0.88, -10.00, -1.10, 22.50
1.0867, -0.47, -0.00, 0.83, -6.83, 0.61, 21.59
1.0900, -0.40, 0.02, 0.76, -4.63, 1.28, 21.10
1.0933, -0.47, 0.04, 0.81, -3.72, 3.78, 20.18
1.0967, -0.45, 0.07, 0.79, -3.29, 6.52, 19.21
1.1000, -0.48, 0.09, 0.76, -3.23, 8.60, 18.84
1.1033, -0.47, 0.11, 0.78, -4.02, 10.37, 18.48
1.1067, -0.46, 0.08, 0.80, -5.49, 11.22, 17.74
1.1100, -0.45, 0.10, 0.78, -6.71, 12.44, 17.50
1.1133, -0.47, 0.07, 0.81, -7.68, 14.15, 17.13
1.1167, -0.50, 0.06, 0.83, -8.90, 15.12, 17.20
1.1200, -0.44, 0.06, 0.85, -10.43, 15.85, 17.13
1.1233, -0.37, 0.02, 0.79, -10.43, 16.89, 16.40
1.1267, -0.38, 0.05, 0.78, -9.88, 19.63, 15.12
1.1300, -0.33, 0.09, 0.74, -10.12, 23.54, 13.48
1.1333, -0.41, 0.08, 0.80, -11.65, 28.48, 12.32
1.1367, -0.43, 0.06, 0.82, -13.35, 33.23, 12.13
1.1400, -0.35, -0.06, 0.93, -14.88, 36.52, 12.07
1.1433, -0.04, -0.03, 1.17, -15.73, 37.87, 10.91
1.1467, -0.25, -0.04, 0.84, -14.27, 40.98, 7.26
1.1500, -0.11, -0.42, 0.59, -9.21, 41.65, 7.26
1.1533, -0.35, -0.41, 0.64, -3.41, 41.77, 2.38
1.1567, -0.52, 0.24, 0.69, 6.10, 40.18, 1.95
1.1600, -0.52, 0.07, 0.80, 10.85, 40.61, 4.57
1.1633, -0.56, 0.26, 0.79, 10.91, 40.30, 9.15
1.1667, -0.37, -0.01, 0.89, 8.90, 38.48, 13.54
1.1700, -0.46, 0.21, 0.85, 5.98, 34.51, 12.99
1.1733, -0.55, 0.19, 0.92, 6.16, 32.07, 12.74
1.1767, -0.62, 0.21, 0.89, 3.23, 30.06, 14.63
